BAIRRO,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO,LATITUDE,LONGITUDE
1,52,1,1,1,350000,-29.75941505,-50.01515306
1,124,2,2,1,1200000,-29.76076035,-50.02528262
1,80,2,2,1,420000,-29.75982511,-50.01489034
1,80,2,2,1,830000,-29.75432937,-50.02961799
1,163,3,2,1,980000,-29.75708011,-50.01370762
1,130,3,2,3,1600000,-29.76575383,-50.017465
1,53,2,2,1,550000,-29.75904852,-50.02393462
1,50,1,1,1,250000,-29.75883661,-50.02259714
1,78,2,2,1,676546,-29.7576448,-50.02852412
1,53,2,2,1,550000,-29.74981297,-50.02857953
1,53,1,1,1,370000,-29.76380546,-50.01710579
1,53,2,1,1,655000,-29.75418104,-50.03534626
1,53,1,1,1,380000,-29.75533334,-50.03278211
1,53,2,2,1,750000,-29.75983141,-50.02650642
1,115,3,2,1,1350000,-29.76279749,-50.01531738
1,116,2,2,1,630000,-29.75493817,-50.03897659
1,69,2,1,1,450000,-29.75283288,-50.0233853
1,53,2,1,1,370000,-29.75496508,-50.03336678
1,85,2,2,1,650000,-29.75839391,-50.01294907
1,60,3,4,2,1040000,-29.76001182,-50.02210895
1,53,2,1,1,375000,-29.75680291,-50.02719618
1,54,1,1,1,250000,-29.75736704,-50.02245383
1,112,2,2,1,800000,-29.76252717,-50.01778505
1,54,1,1,1,210000,-29.75925813,-50.02864927
1,38,1,1,1,300000,-29.75348176,-50.02414958
1,60,2,2,1,624000,-29.76174313,-50.02172681
1,60,3,1,1,570000,-29.75002144,-50.03024757
1,54,2,1,1,360000,-29.75652057,-50.0119985
1,54,2,1,1,260000,-29.76138575,-50.01654118
1,127,2,2,2,703000,-29.76440051,-50.01974638
1,55,1,2,1,430000,-29.7526582,-50.02014571
1,98,2,2,1,570000,-29.75588829,-50.03946573
1,55,1,1,1,399000,-29.76396582,-50.02198571
1,55,2,1,1,480000,-29.75509623,-50.03485808
1,55,1,1,1,350000,-29.75411174,-50.02600391
1,55,2,1,1,480000,-29.75710359,-50.01346782
1,55,2,1,1,480000,-29.76424244,-50.0160272
1,81,2,2,1,700000,-29.75375265,-50.03386547
1,161,3,2,1,926000,-29.75691975,-50.03582394
1,99,2,2,1,555000,-29.75011307,-50.02885276
1,55,1,1,1,250000,-29.75273895,-50.02051734
1,58,1,1,1,380000,-29.75668379,-50.01773632
1,55,2,2,1,575000,-29.75681494,-50.02042658
1,74,2,2,1,480000,-29.75019325,-50.02664017
1,55,1,1,1,450000,-29.75109756,-50.02705479
1,55,1,1,1,270000,-29.76469259,-50.01876523
